# tau_total W_out Q_meas
7.500000000000000000e+00 2.997253640822350462e-01 -2.251291732489500361e-06
7.574999999999999289e+00 2.999750191252417153e-01 -2.277131001162898717e-06
7.649999999999999467e+00 3.000895324599142100e-01 -2.303183840204935454e-06
7.724999999999999645e+00 2.998629998518349549e-01 -1.937835311290106333e+00
7.799999999999998934e+00 2.998264889191595284e-01 -1.937791137487741455e+00
7.874999999999998224e+00 2.998587762136670776e-01 -3.046361923571433650e+00
7.949999999999998401e+00 3.000522780661663003e-01 -3.046361378766529793e+00
8.024999999999998579e+00 3.001955179260690221e-01 -3.046369019187790350e+00
8.099999999999997868e+00 2.999637810899358215e-01 -3.046359203797603943e+00
8.174999999999997158e+00 2.999467569306872861e-01 -2.482131391533986056e-06
8.249999999999996447e+00 2.999566938426263540e-01 -3.046363967628580749e+00
8.324999999999997513e+00 3.001199296762777635e-01 -2.528496358651351542e-06
8.399999999999996803e+00 3.002792260377233902e-01 -2.550599327283799636e-06
8.474999999999996092e+00 3.001173418487360633e-01 -4.984203342731857944e+00
8.549999999999997158e+00 3.000412854111402794e-01 -2.596948040403885063e-06
8.624999999999996447e+00 3.001047852767225743e-01 -1.937821428155371173e+00
8.699999999999995737e+00 3.001805172174769609e-01 -2.638997579234724118e-06
8.774999999999995026e+00 3.003486808967074095e-01 -3.046370290911256440e+00
8.849999999999994316e+00 3.001689035686004869e-01 -3.046344448857121634e+00
8.924999999999995381e+00 3.001242222836424389e-01 -2.700616657629918704e-06
8.999999999999994671e+00 3.001729057837313475e-01 -1.937829855203888396e+00
9.074999999999993960e+00 3.002353810094078312e-01 -2.737948790316221785e-06
9.149999999999995026e+00 3.004104798053433001e-01 -2.755556832211426659e-06
9.224999999999994316e+00 3.002666898895114400e-01 -2.773994592453936717e-06
9.299999999999993605e+00 3.001976758175359805e-01 -2.792175274874851218e-06
9.374999999999992895e+00 3.002389264594861329e-01 -4.984209151802249771e+00
9.449999999999992184e+00 3.002856541642557886e-01 -2.824454556090805028e-06
9.524999999999993250e+00 3.004601904739274687e-01 -2.839634800093381907e-06
9.599999999999992539e+00 3.003710765998346410e-01 -1.937836541029551274e+00
9.674999999999991829e+00 3.002633421673408520e-01 -2.870804636735798873e-06
9.749999999999992895e+00 3.002821022129680273e-01 -2.885099125341612433e-06
9.824999999999992184e+00 3.003360963995487243e-01 -6.092741321821960376e+00
9.899999999999991473e+00 3.005017321438998579e-01 -2.910416813868316362e-06
9.974999999999990763e+00 3.003920914464370817e-01 -3.046300490199664424e+00
1.004999999999999005e+01 3.003225841373122762e-01 -2.935857955345031432e-06
1.012499999999999112e+01 3.003629988139994156e-01 -1.937835800208890680e+00
1.019999999999999041e+01 3.003755513319603665e-01 -2.957352206787761291e-06
1.027499999999998970e+01 3.005347527377958405e-01 -6.092744868239442724e+00
1.034999999999999076e+01 3.004768523292398186e-01 -2.976944393839192626e-06
1.042499999999999005e+01 3.003736535496368543e-01 -4.984163876266991089e+00
1.049999999999998934e+01 3.004176726267305808e-01 -4.984199905037624667e+00
1.057499999999998863e+01 3.004235805903152645e-01 -4.984156255086393372e+00
1.064999999999998792e+01 3.005660174546704866e-01 -3.009984109367128471e-06
1.072499999999998899e+01 3.005419531568814806e-01 -1.937824700309489945e+00
1.079999999999998828e+01 3.004259318418576186e-01 -3.023437307061657697e-06
1.087499999999998757e+01 3.004285637688594024e-01 -3.046344859280268658e+00
1.094999999999998863e+01 3.004544834501601258e-01 -3.033730377154748512e-06
1.102499999999998792e+01 3.005910926856572019e-01 -3.038130261856768904e-06
1.109999999999998721e+01 3.005782455553278609e-01 -3.046367520072102320e+00
1.117499999999998650e+01 3.004692403209753282e-01 -3.046365729279989942e+00
1.124999999999998579e+01 3.004801441089764991e-01 -7.934711894093796801e-06
1.132499999999998685e+01 3.004919554854691421e-01 -3.046368158901051171e+00
1.139999999999998614e+01 3.006127211350957396e-01 -3.051704791191128807e-06
1.147499999999998543e+01 3.006184426621757444e-01 -9.139138319082917405e+00
1.154999999999998650e+01 3.005139758950150508e-01 -3.053052904604565410e-06
1.162499999999998579e+01 3.005500865482957362e-01 -6.922042876391250488e+00
1.169999999999998508e+01 3.005245370318334608e-01 -3.052284982499320343e-06
1.177499999999998437e+01 3.006316673490374569e-01 -3.050815801417189679e-06
1.184999999999998366e+01 3.006632543450976636e-01 -1.937832011887624217e+00
1.192499999999998472e+01 3.005727515684593065e-01 -1.937818661658385899e+00
1.199999999999998401e+01 3.005520846001951130e-01 -3.046350769644350809e+00
1.207499999999998508e+01 3.005751820379569672e-01 -3.875669057533840167e+00
1.214999999999998437e+01 3.006604088840650890e-01 -1.937836183758563591e+00
1.222499999999998188e+01 3.006919282339737265e-01 -3.031573468712748382e-06
1.229999999999998295e+01 3.005904793890010751e-01 -3.025541927976051551e-06
1.237499999999998401e+01 3.005835102216281030e-01 -3.046342875024635521e+00
1.244999999999998153e+01 3.005979392765878444e-01 -1.937801003145122047e+00
1.252499999999998082e+01 3.006645360288626723e-01 -3.046376606230520423e+00
1.259999999999998188e+01 3.007540803922305050e-01 -1.937813508754669733e+00
1.267499999999998295e+01 3.006253032127123026e-01 -3.046376238202163300e+00
1.274999999999998224e+01 3.006138317815625349e-01 -8.030552672071271658e+00
1.282499999999997975e+01 3.006147912399939059e-01 -2.975237726654013370e-06
1.289999999999998082e+01 3.006565124792569543e-01 -4.984132279717835345e+00
1.297499999999998188e+01 3.007406005539874361e-01 -3.046346540508478640e+00
1.304999999999997939e+01 3.006586490616995899e-01 -3.046371885509980615e+00
1.312499999999997868e+01 3.006814793823753273e-01 -3.875657743646852005e+00
1.319999999999997975e+01 3.006406947264312901e-01 -3.046376578762647114e+00
1.327499999999998082e+01 3.006917654343368440e-01 -2.910415198679756205e-06
1.334999999999998010e+01 3.007605590528590334e-01 -3.046343764787791120e+00
1.342499999999997762e+01 3.006878638525591896e-01 -2.885210498870935045e-06
