# tau_total W_out Q_meas
7.500000000000000000e+00 -2.943741499954573015e-01 -6.764966970642614106e-07
7.574999999999999289e+00 -2.953026522041816149e-01 -6.827776132827908964e-07
7.649999999999999467e+00 -2.962746182079185608e-01 -6.091968215628473793e-01
7.724999999999999645e+00 -2.955909344661336036e-01 -6.091351823157116208e-01
7.799999999999998934e+00 -2.948999657641354633e-01 -6.092064116705451227e-01
7.874999999999998224e+00 -2.950899546792288275e-01 -7.275288015360558075e-07
7.949999999999998401e+00 -2.951129066131751300e-01 -7.493074988657418478e-07
8.024999999999998579e+00 -2.960908711237806301e-01 -9.967157657550685945e-01
8.099999999999997868e+00 -2.969292353562673625e-01 -1.605951063041163529e+00
8.174999999999997158e+00 -2.961210736451161951e-01 -7.821339803611279586e-07
8.249999999999996447e+00 -2.955450908970292945e-01 -7.995385130696845309e-07
8.324999999999997513e+00 -2.957097461179993836e-01 -1.218454508577465178e+00
8.399999999999996803e+00 -2.958580459747216507e-01 -9.967285753678314375e-01
8.474999999999996092e+00 -2.964887401725141425e-01 -6.091816686965124683e-01
8.549999999999997158e+00 -2.972478178794906167e-01 -6.092489240016997210e-01
8.624999999999996447e+00 -2.966328147074654975e-01 -6.092438158851049002e-01
8.699999999999995737e+00 -2.962750542540817378e-01 -1.605926893888878659e+00
8.774999999999995026e+00 -2.964435808482058787e-01 -2.215192848140646653e+00
8.849999999999994316e+00 -2.962651953341156608e-01 -6.092344320248648248e-01
8.924999999999995381e+00 -2.969212501686387951e-01 -9.148931501531726209e-07
8.999999999999994671e+00 -2.976359953924395674e-01 -6.092420468193794347e-01
9.074999999999993960e+00 -2.970604087142234562e-01 -6.092373350217941130e-01
9.149999999999995026e+00 -2.965811747935146458e-01 -9.620962935406006389e-07
9.224999999999994316e+00 -2.967126284735993602e-01 -6.092313451338952079e-01
9.299999999999993605e+00 -2.967769955079982980e-01 -6.092306680463099866e-01
9.374999999999992895e+00 -2.973412309382076346e-01 -1.827529430486059647e+00
9.449999999999992184e+00 -2.979362698114446095e-01 -6.092446596147319537e-01
9.524999999999993250e+00 -2.974246566630693867e-01 -6.092304578048569619e-01
9.599999999999992539e+00 -2.970068657921413058e-01 -1.218489263266849143e+00
9.674999999999991829e+00 -2.976153615607201042e-01 -1.993468889784817177e+00
9.749999999999992895e+00 -2.973837234012772779e-01 -3.212072534101736210e+00
9.824999999999992184e+00 -2.976569179709018798e-01 -6.092609242691857663e-01
9.899999999999991473e+00 -2.984118768502395103e-01 -2.602775935216157244e+00
9.974999999999990763e+00 -2.977488469269983229e-01 -1.120143260010533163e-06
1.004999999999999005e+01 -2.974450690367500538e-01 -3.875603060161419977e-01
1.012499999999999112e+01 -2.976167721520633913e-01 -9.968296066144507472e-01
1.019999999999999041e+01 -2.974518350211932116e-01 -1.827670489122767084e+00
1.027499999999998970e+01 -2.979435100616912857e-01 -6.092489389887684181e-01
1.034999999999999076e+01 -2.985295772859247743e-01 -9.968027792318283620e-01
1.042499999999999005e+01 -2.980648341655539602e-01 -2.436931669291088287e+00
1.049999999999998934e+01 -2.976778248251469305e-01 -6.092693735822775070e-01
1.057499999999998863e+01 -2.977621583401287575e-01 -6.092004725774757823e-01
1.064999999999998792e+01 -2.977961294185800245e-01 -1.218382349026745803e+00
1.072499999999998899e+01 -2.982466849879819026e-01 -1.218492365244471243e+00
1.079999999999998828e+01 -2.987154015798300088e-01 -3.046172408360620754e+00
1.087499999999998757e+01 -2.982836978385017268e-01 -6.092627879531060664e-01
1.094999999999998863e+01 -2.979393118933559848e-01 -1.218473344274372483e+00
1.102499999999998792e+01 -2.980201720829457335e-01 -6.092404067411899549e-01
1.109999999999998721e+01 -2.980768551818913092e-01 -1.218489221399452260e+00
1.117499999999998650e+01 -2.984293816208243300e-01 -1.377870645238003658e-06
1.124999999999998579e+01 -2.988653437061846718e-01 -1.381550083393311189e-06
1.132499999999998685e+01 -2.984993252038642408e-01 -6.092439078896197957e-01
1.139999999999998614e+01 -2.981973404535509520e-01 -1.218463346545032300e+00
1.147499999999998543e+01 -2.982639395933813775e-01 -1.827758979500928804e+00
1.154999999999998650e+01 -2.982671270391347162e-01 -6.092475039044266127e-01
1.162499999999998579e+01 -2.987482990002467975e-01 -3.875601029786256424e-01
1.169999999999998508e+01 -2.991807839887953291e-01 -1.605974729464803241e+00
1.177499999999998437e+01 -2.986884894236858656e-01 -1.517552419023020628e-06
1.184999999999998366e+01 -2.983985930859320845e-01 -1.218469926168824546e+00
1.192499999999998472e+01 -2.984920052699525650e-01 -1.218505950625156098e+00
1.199999999999998401e+01 -2.985710418481565265e-01 -1.606030115183939344e+00
1.207499999999998508e+01 -2.990042402879700134e-01 -2.215253814694281953e+00
1.214999999999998437e+01 -2.991753012971902770e-01 -1.827747524547700841e+00
1.222499999999998188e+01 -2.988671094993796684e-01 -6.092073467757043170e-01
1.229999999999998295e+01 -2.988880146760443113e-01 -7.750804604761912797e-01
1.237499999999998401e+01 -2.987337011626336469e-01 -9.968170200657082702e-01
1.244999999999998153e+01 -2.986548206199104438e-01 -6.092586897281997427e-01
1.252499999999998082e+01 -2.989952119362978555e-01 -1.218453506624499028e+00
1.259999999999998188e+01 -2.993077403862356434e-01 -1.827711136319836394e+00
1.267499999999998295e+01 -2.990969210078827656e-01 -1.827721941142387063e+00
1.274999999999998224e+01 -2.988725446060775948e-01 -2.215260637479310901e+00
1.282499999999997975e+01 -2.990192317496858099e-01 -3.212082914478529894e+00
1.289999999999998082e+01 -2.988301073933300467e-01 -6.092637444857017526e-01
1.297499999999998188e+01 -2.991864283113462308e-01 -2.215325507688975737e+00
1.304999999999997939e+01 -2.994715951881588012e-01 -2.824587299474466295e+00
1.312499999999997868e+01 -2.992244230950309447e-01 -3.875579470528896509e-01
1.319999999999997975e+01 -2.990355310358611129e-01 -2.215269084204244177e+00
1.327499999999998082e+01 -2.989770476017726830e-01 -6.092533767487664509e-01
1.334999999999998010e+01 -2.991261898539694375e-01 -1.606078982046775572e+00
1.342499999999997762e+01 -2.993216731900393279e-01 -1.606066421644781972e+00
1.349999999999997868e+01 -2.995269349641362933e-01 -2.437016047350337278e+00
1.357499999999997975e+01 -2.993592698617455472e-01 -9.968228103015714936e-01
1.364999999999997726e+01 -2.990973085289420075e-01 -1.606028977936178936e+00
1.372499999999997655e+01 -2.992140429667698998e-01 -2.824478537436864389e+00
1.379999999999997762e+01 -2.991088343442487307e-01 -1.218504078769468535e+00
1.387499999999997868e+01 -2.994491033283320780e-01 -2.215320035193158787e+00
1.394999999999997797e+01 -2.996682303469990760e-01 -1.606083841911114307e+00
1.402499999999997549e+01 -2.994784036061052257e-01 -5.039886098571406237e+00
1.409999999999997655e+01 -2.994239107760260366e-01 -3.433727786499568779e+00
1.417499999999997762e+01 -2.992962336343765184e-01 -1.384348326543800578e+00
1.424999999999997513e+01 -2.992682030641743429e-01 -2.824591703032972578e+00
1.432499999999997442e+01 -2.995424904350267870e-01 -2.215328126739713355e+00
1.439999999999997549e+01 -2.998086330921997389e-01 -2.602890196302115378e+00
1.447499999999997655e+01 -2.995964425037990209e-01 -1.384378434130003388e+00
1.454999999999997584e+01 -2.994515888962702155e-01 -2.215343536081396003e+00
1.462499999999997335e+01 -2.994399799761855441e-01 -3.433837314402720775e+00
1.469999999999997442e+01 -2.993521156850847964e-01 -2.436998315995962727e+00
1.477499999999997549e+01 -2.996351510897199422e-01 -1.606050642572474318e+00
1.484999999999997300e+01 -2.998935305283270125e-01 -7.751350792589183358e-01
1.492499999999997229e+01 -2.995900409132571385e-01 -2.343593675979823918e-06
