# total_time tau_hot tau_cold eta power W_out Q_hot Q_cold W_comp W_exp W_net
1.060500000000000000e+03 3.510000000000000000e+02 7.020000000000000000e+02 6.847065903917567420e-01 1.009695558479332619e-04 1.070782139767332275e-01 1.563855459832336758e-01 -1.358619727602520533e-01 -6.363385690428264851e-01 5.292603550660932576e-01 -1.070782139767332275e-01
1.063500000000000000e+03 3.520000000000000000e+02 7.040000000000000000e+02 6.847059089159557299e-01 1.018571554348596828e-04 1.083250848049732706e-01 1.582067328387400384e-01 -1.358788026903963719e-01 -6.375886125765961587e-01 5.292635277716228881e-01 -1.083250848049732706e-01
1.066500000000000000e+03 3.530000000000000000e+02 7.060000000000000000e+02 6.847081297091723862e-01 1.027330724307992671e-04 1.095648217474474162e-01 1.600168261387296953e-01 -1.358952066971289285e-01 -6.388304762374098500e-01 5.292656544899624338e-01 -1.095648217474474162e-01
1.069500000000000000e+03 3.540000000000000000e+02 7.080000000000000000e+02 6.847092207793500362e-01 1.035968455538671061e-04 1.107968263198608749e-01 1.618158817749666967e-01 -1.359118114548042155e-01 -6.400642135513625597e-01 5.292673872315016848e-01 -1.107968263198608749e-01
1.072500000000000000e+03 3.550000000000000000e+02 7.100000000000000000e+02 6.847095515689313183e-01 1.044486629947217316e-04 1.120211910618390538e-01 1.636039555825615222e-01 -1.359285595277836267e-01 -6.412898776939920387e-01 5.292686866321529848e-01 -1.120211910618390538e-01
1.075500000000000000e+03 3.560000000000000000e+02 7.120000000000000000e+02 6.847123011832548789e-01 1.052891453618089217e-04 1.132384758366254962e-01 1.653811033348422388e-01 -1.359449305413958087e-01 -6.425075214925691780e-01 5.292690456559436818e-01 -1.132384758366254962e-01
1.078500000000000000e+03 3.570000000000000000e+02 7.140000000000000000e+02 6.847109124078213371e-01 1.061174182435896781e-04 1.144476355757114705e-01 1.671473807438681458e-01 -1.359619940681609240e-01 -6.437171974322675183e-01 5.292695618565560478e-01 -1.144476355757114705e-01
1.081500000000000000e+03 3.580000000000000000e+02 7.160000000000000000e+02 6.847153062312489880e-01 1.069351476431657107e-04 1.156503621760837097e-01 1.689028434498368036e-01 -1.359781081583224527e-01 -6.449189576543683522e-01 5.292685954782846425e-01 -1.156503621760837097e-01
1.084500000000000000e+03 3.590000000000000000e+02 7.180000000000000000e+02 6.847122066279349717e-01 1.077403950866253571e-04 1.168444584714452006e-01 1.706475470137736039e-01 -1.359954842824793730e-01 -6.461128539567196905e-01 5.292683954852744899e-01 -1.168444584714452006e-01
1.087500000000000000e+03 3.600000000000000000e+02 7.200000000000000000e+02 6.847181370376013154e-01 1.085358819897398318e-04 1.180327716638420732e-01 1.723815469157936042e-01 -1.360113352915121865e-01 -6.472989377980081782e-01 5.292661661341661050e-01 -1.180327716638420732e-01
1.090500000000000000e+03 3.610000000000000000e+02 7.220000000000000000e+02 6.847134206587353056e-01 1.093186250710224613e-04 1.192119606399499876e-01 1.741048985504927704e-01 -1.360290069953671299e-01 -6.484772602998705171e-01 5.292652996599205295e-01 -1.192119606399499876e-01
1.093500000000000000e+03 3.620000000000000000e+02 7.240000000000000000e+02 6.847207683016013346e-01 1.100923651892136561e-04 1.203860013344051350e-01 1.758176572225399470e-01 -1.360445928368820834e-01 -6.496478722491033642e-01 5.292618709146982292e-01 -1.203860013344051350e-01
1.096500000000000000e+03 3.630000000000000000e+02 7.260000000000000000e+02 6.847146202825387107e-01 1.108531290057273016e-04 1.215504559547799790e-01 1.775198781422598349e-01 -1.360625266007574607e-01 -6.508108240997494409e-01 5.292603681449694619e-01 -1.215504559547799790e-01
1.099500000000000000e+03 3.640000000000000000e+02 7.280000000000000000e+02 6.847232559100302485e-01 1.116056039045392769e-04 1.227103614930409314e-01 1.792116164215175333e-01 -1.360778489015036785e-01 -6.519661659753200889e-01 5.292558044822791574e-01 -1.227103614930409314e-01
1.102500000000000000e+03 3.650000000000000000e+02 7.300000000000000000e+02 6.847157751485744015e-01 1.123448895938606326e-04 1.238602407772313452e-01 1.808929270694183966e-01 -1.360960251412289823e-01 -6.531139476707250591e-01 5.292537068934937139e-01 -1.238602407772313452e-01
1.105500000000000000e+03 3.660000000000000000e+02 7.320000000000000000e+02 6.847256069399213496e-01 1.130765746354391260e-04 1.250061532594779479e-01 1.825638649883969400e-01 -1.361110809143124545e-01 -6.542542186544992866e-01 5.292480653950213387e-01 -1.250061532594779479e-01
1.108500000000000000e+03 3.670000000000000000e+02 7.340000000000000000e+02 6.847168904595590799e-01 1.137948727968948450e-04 1.261416164953579333e-01 1.842244849702713017e-01 -1.361294798264087447e-01 -6.553870280708267160e-01 5.292454115754687827e-01 -1.261416164953579333e-01
1.111500000000000000e+03 3.680000000000000000e+02 7.360000000000000000e+02 6.847278301328229011e-01 1.145062321442402503e-04 1.272736770283230401e-01 1.858748416924058677e-01 -1.361442671025578921e-01 -6.565124247415998759e-01 5.292387477132768359e-01 -1.272736770283230401e-01
1.114500000000000000e+03 3.690000000000000000e+02 7.380000000000000000e+02 6.847180332985501883e-01 1.152040331726241564e-04 1.283948949708896281e-01 1.875149897138856103e-01 -1.361628574857872698e-01 -6.576304571683813105e-01 5.292355621974916824e-01 -1.283948949708896281e-01
1.117500000000000000e+03 3.700000000000000000e+02 7.400000000000000000e+02 6.847299077999495776e-01 1.158955052292228523e-04 1.295132270936565355e-01 1.891449834720744794e-01 -1.361773916914015004e-01 -6.587411735345551911e-01 5.292279464408986556e-01 -1.295132270936565355e-01
1.120500000000000000e+03 3.710000000000000000e+02 7.420000000000000000e+02 6.847190280459266587e-01 1.165732631606197030e-04 1.306203413714743800e-01 1.907648773019247623e-01 -1.361961711712659784e-01 -6.598446217233274735e-01 5.292242803518530936e-01 -1.306203413714743800e-01
1.123500000000000000e+03 3.720000000000000000e+02 7.440000000000000000e+02 6.847319040380926980e-01 1.172453155501816533e-04 1.317251120206290871e-01 1.923747254126791928e-01 -1.362104246278184327e-01 -6.609408493057997713e-01 5.292157372851706842e-01 -1.317251120206290871e-01
1.126500000000000000e+03 3.730000000000000000e+02 7.460000000000000000e+02 6.847200622882426702e-01 1.179034955876171403e-04 1.328182877794507055e-01 1.939745818686687828e-01 -1.362293673947396755e-01 -6.620299035318482073e-01 5.292116157523975017e-01 -1.328182877794507055e-01
1.129500000000000000e+03 3.740000000000000000e+02 7.480000000000000000e+02 6.847337665758294056e-01 1.185565445814802064e-04 1.339096171047818862e-01 1.955645006006175302e-01 -1.362433586846845679e-01 -6.631118313423124411e-01 5.292022142375305549e-01 -1.339096171047818862e-01
1.132500000000000000e+03 3.750000000000000000e+02 7.500000000000000000e+02 6.847210768111092749e-01 1.191956013847368087e-04 1.349890185682144361e-01 1.971445354024836116e-01 -1.362624396174034191e-01 -6.641866793708915973e-01 5.291976608026771611e-01 -1.349890185682144361e-01
1.135500000000000000e+03 3.760000000000000000e+02 7.520000000000000000e+02 6.847355210967407402e-01 1.198300669261195633e-04 1.360670409946087567e-01 1.987147399285934535e-01 -1.362761729463464466e-01 -6.652544939462834428e-01 5.291874529516746861e-01 -1.360670409946087567e-01
1.138500000000000000e+03 3.770000000000000000e+02 7.540000000000000000e+02 6.847220746503092093e-01 1.204504420923080611e-04 1.371328283220927258e-01 2.002751676906679434e-01 -1.362953707040531481e-01 -6.663153210940915283e-01 5.291824927719988025e-01 -1.371328283220927258e-01
1.141500000000000000e+03 3.780000000000000000e+02 7.560000000000000000e+02 6.847371723315104353e-01 1.210667340642226653e-04 1.381976769343101763e-01 2.018258720550412666e-01 -1.363088513496471810e-01 -6.673692065388365791e-01 5.291715296045264028e-01 -1.381976769343101763e-01
1.144500000000000000e+03 3.790000000000000000e+02 7.580000000000000000e+02 6.847230585227682687e-01 1.216688598015711417e-04 1.392500100428981646e-01 2.033669062399011684e-01 -1.363281445276248727e-01 -6.684161957058715187e-01 5.291661856629733540e-01 -1.392500100428981646e-01
1.147500000000000000e+03 3.800000000000000000e+02 7.600000000000000000e+02 6.847387250246320667e-01 1.222673780108311738e-04 1.403018162674287694e-01 2.048983227323410150e-01 -1.363413787132864707e-01 -6.694563333179323061e-01 5.291545170505035367e-01 -1.403018162674287694e-01
1.150500000000000000e+03 3.810000000000000000e+02 7.620000000000000000e+02 6.847240309960300753e-01 1.228516773096886068e-04 1.413408547447967401e-01 2.064201756424351442e-01 -1.363607459033318314e-01 -6.704896650436005245e-01 5.291488102988037845e-01 -1.413408547447967401e-01
1.153500000000000000e+03 3.820000000000000000e+02 7.640000000000000000e+02 6.847401836944790876e-01 1.234328131594679087e-04 1.423797499794462462e-01 2.079325171355417001e-01 -1.363737407343574848e-01 -6.715162350081655962e-01 5.291364850287193500e-01 -1.423797499794462462e-01
1.156500000000000000e+03 3.830000000000000000e+02 7.660000000000000000e+02 6.847249940471279439e-01 1.239996998607864468e-04 1.434056528889995352e-01 2.094353998112259418e-01 -1.363931606302933863e-01 -6.725360874594764615e-01 5.291304345704769263e-01 -1.434056528889995352e-01
1.159500000000000000e+03 3.840000000000000000e+02 7.680000000000000000e+02 6.847415524990766444e-01 1.245638344916847717e-04 1.444317660931084824e-01 2.109288761080455044e-01 -1.364059240067949375e-01 -6.735492663555876502e-01 5.291175002624791679e-01 -1.444317660931084824e-01
1.162500000000000000e+03 3.850000000000000000e+02 7.700000000000000000e+02 6.847259496329598516e-01 1.251137135278884054e-04 1.454446919761702706e-01 2.124129983011953382e-01 -1.364253753656364532e-01 -6.745558153665428547e-01 5.291111233903725841e-01 -1.454446919761702706e-01
1.165500000000000000e+03 3.860000000000000000e+02 7.720000000000000000e+02 6.847428351018589598e-01 1.256612194196293319e-04 1.464581512335779712e-01 2.138878185001988064e-01 -1.364379160048687090e-01 -6.755557778761817067e-01 5.290976266426037355e-01 -1.464581512335779712e-01
1.168500000000000000e+03 3.870000000000000000e+02 7.740000000000000000e+02 6.847268991842234698e-01 1.261944869806931211e-04 1.474582580369399043e-01 2.153533886468023129e-01 -1.364573776822950724e-01 -6.765491969840189412e-01 5.290909389470790369e-01 -1.474582580369399043e-01
1.171500000000000000e+03 3.880000000000000000e+02 7.760000000000000000e+02 6.847440355377744092e-01 1.267257280047176570e-04 1.484591903575267491e-01 2.168097605128199712e-01 -1.364697048736084883e-01 -6.775361155070025454e-01 5.290769251494757963e-01 -1.484591903575267491e-01
1.174500000000000000e+03 3.890000000000000000e+02 7.780000000000000000e+02 6.847278441841527785e-01 1.272427716433604139e-04 1.494466352951268062e-01 2.182569856980055567e-01 -1.364891559205054783e-01 -6.785165759812581410e-01 5.290699406861313348e-01 -1.494466352951268062e-01
1.177500000000000000e+03 3.900000000000000000e+02 7.800000000000000000e+02 6.847451569631787249e-01 1.277581031293746746e-04 1.504351664348386741e-01 2.196951156281461981e-01 -1.365012796636189685e-01 -6.794906206639360624e-01 5.290554542290973883e-01 -1.504351664348386741e-01
1.180500000000000000e+03 3.910000000000000000e+02 7.820000000000000000e+02 6.847287861882780380e-01 1.282593020976294977e-04 1.514101061262516090e-01 2.211242015530201221e-01 -1.365206991493244371e-01 -6.804582915348433847e-01 5.290481854085917757e-01 -1.514101061262516090e-01
1.183500000000000000e+03 3.920000000000000000e+02 7.840000000000000000e+02 6.847462030179864989e-01 1.287590711387850669e-04 1.523863606927521319e-01 2.225442945446304832e-01 -1.365326300107652102e-01 -6.814196302983341891e-01 5.290332696055820572e-01 -1.523863606927521319e-01
1.186500000000000000e+03 3.930000000000000000e+02 7.860000000000000000e+02 6.847297259356907029e-01 1.292447963049086883e-04 1.533489508157741543e-01 2.239554454952589202e-01 -1.365519973314039959e-01 -6.823746783848638753e-01 5.290257275690897210e-01 -1.533489508157741543e-01
1.189500000000000000e+03 3.940000000000000000e+02 7.880000000000000000e+02 6.847471768658632829e-01 1.297293420453762120e-04 1.543130523629749895e-01 2.253577051157433786e-01 -1.365637463137842900e-01 -6.833234769527793961e-01 5.290104245898044066e-01 -1.543130523629749895e-01
1.192500000000000000e+03 3.950000000000000000e+02 7.900000000000000000e+02 6.847306642847393876e-01 1.301999561580704221e-04 1.552634477184989814e-01 2.267511239337953732e-01 -1.365830410925331639e-01 -6.842660668900119036e-01 5.290026191715129222e-01 -1.552634477184989814e-01
1.195500000000000000e+03 3.960000000000000000e+02 7.920000000000000000e+02 6.847480816650814983e-01 1.306696099885694537e-04 1.562155187413347690e-01 2.281357522922446979e-01 -1.365946196047587435e-01 -6.852024888156903470e-01 5.289869700743555780e-01 -1.562155187413347690e-01
1.198500000000000000e+03 3.970000000000000000e+02 7.940000000000000000e+02 6.847316089233405068e-01 1.311254691378994290e-04 1.571538747617724496e-01 2.295116403474908029e-01 -1.366138201582088041e-01 -6.861327830818113593e-01 5.289789083200389097e-01 -1.571538747617724496e-01
1.201500000000000000e+03 3.980000000000000000e+02 7.960000000000000000e+02 6.847489094566164836e-01 1.315805514637114306e-04 1.580940325836492910e-01 2.308788380679642760e-01 -1.366252440724865513e-01 -6.870569897749484456e-01 5.289629571912991546e-01 -1.580940325836492910e-01
1.204500000000000000e+03 3.990000000000000000e+02 7.980000000000000000e+02 6.847325543375235579e-01 1.320220048570004126e-04 1.590205048502569829e-01 2.322373952325207935e-01 -1.366443278583709398e-01 -6.879751487177729885e-01 5.289546438675160056e-01 -1.590205048502569829e-01
1.207500000000000000e+03 4.000000000000000000e+02 8.000000000000000000e+02 6.847497082446276639e-01 1.324628385823034169e-04 1.599488775881313662e-01 2.335873614289872002e-01 -1.366556015996145956e-01 -6.888872994706596309e-01 5.289384218825282646e-01 -1.599488775881313662e-01
1.210500000000000000e+03 4.010000000000000000e+02 8.020000000000000000e+02 6.847334593404608150e-01 1.328902109661689421e-04 1.608636003745474996e-01 2.349287860556605878e-01 -1.366745665324763381e-01 -6.897934813353502337e-01 5.289298809608027341e-01 -1.608636003745474996e-01
