# total_time tau_hot tau_cold eta power W_out Q_hot Q_cold W_comp W_exp W_net
1.060500000000000000e+03 3.510000000000000000e+02 7.020000000000000000e+02 -1.789676399059228231e+02 -1.160435119993778448e-04 -1.230641444753401981e-01 6.876334992182431272e-04 -2.095646373344094426e-01 -4.763673296237981303e-01 5.994314740991383283e-01 1.230641444753401981e-01
1.063500000000000000e+03 3.520000000000000000e+02 7.040000000000000000e+02 -5.629054793325882855e+01 -1.142747839954068675e-04 -1.215312327791152058e-01 2.158998930392529159e-03 -2.089615343868073682e-01 -4.773031206147307359e-01 5.988343533938459418e-01 1.215312327791152058e-01
1.066500000000000000e+03 3.530000000000000000e+02 7.060000000000000000e+02 -3.381134088583954878e+01 -1.148144134507538602e-04 -1.224495719452289855e-01 3.621553263997046024e-03 -2.107803709191630737e-01 -4.782327880978028967e-01 6.006823600430318821e-01 1.224495719452289855e-01
1.069500000000000000e+03 3.540000000000000000e+02 7.080000000000000000e+02 -2.335943892610618633e+01 -1.108528004522916908e-04 -1.185570700837259572e-01 5.075338943660509528e-03 -2.078295758615042454e-01 -4.791563721429965561e-01 5.977134422267225133e-01 1.185570700837259572e-01
1.072500000000000000e+03 3.550000000000000000e+02 7.100000000000000000e+02 -1.868536481769755042e+01 -1.136000214090204812e-04 -1.218360229611744616e-01 6.520398405375493756e-03 -2.119763676764937488e-01 -4.800739125578620259e-01 6.019099355190364875e-01 1.218360229611744616e-01
1.075500000000000000e+03 3.560000000000000000e+02 7.120000000000000000e+02 -1.453180754035756905e+01 -1.075093532960244379e-04 -1.156263094698742888e-01 7.956774072926456332e-03 -2.067187707094713667e-01 -4.809854488892747471e-01 5.966117583591490359e-01 1.156263094698742888e-01
1.078500000000000000e+03 3.570000000000000000e+02 7.140000000000000000e+02 -1.291686357750925218e+01 -1.123953770977903824e-04 -1.212184141999669285e-01 9.384508357820821323e-03 -2.131477338042559178e-01 -4.818910204279786003e-01 6.031094346279455287e-01 1.212184141999669285e-01
1.081500000000000000e+03 3.580000000000000000e+02 7.160000000000000000e+02 -1.043565309778496619e+01 -1.042469508322677160e-04 -1.127430773250975293e-01 1.080364365015429318e-02 -2.056334281392855345e-01 -4.827906662072848909e-01 5.955337435323824202e-01 1.127430773250975293e-01
1.084500000000000000e+03 3.590000000000000000e+02 7.180000000000000000e+02 -9.873187633415943409e+00 -1.111971495479210703e-04 -1.205933086847204017e-01 1.221422231221157284e-02 -2.142912052045418958e-01 -4.836844250034192383e-01 6.042777336881396399e-01 1.205933086847204017e-01
1.087500000000000000e+03 3.600000000000000000e+02 7.200000000000000000e+02 -8.072048581627857544e+00 -1.010678874064805332e-04 -1.099113275545475776e-01 1.361628667655791214e-02 -2.045776899936424809e-01 -4.845723353386833798e-01 5.944836628932309575e-01 1.099113275545475776e-01
1.090500000000000000e+03 3.610000000000000000e+02 7.220000000000000000e+02 -7.991751504398161288e+00 -1.100002048731290856e-04 -1.199552234141472717e-01 1.500987904192609135e-02 -2.154014893750126891e-01 -4.854544354830951369e-01 6.054096588972424087e-01 1.199552234141472717e-01
1.093500000000000000e+03 3.620000000000000000e+02 7.240000000000000000e+02 -6.534619834307133779e+00 -9.797472745808509726e-05 -1.071353644754160506e-01 1.639504166913416383e-02 -2.035560485878661063e-01 -4.863307634559868031e-01 5.934661279314028537e-01 1.071353644754160506e-01
1.096500000000000000e+03 3.630000000000000000e+02 7.260000000000000000e+02 -6.712872717392811772e+00 -1.088006785055259628e-04 -1.192999439813092200e-01 1.777181677707181245e-02 -2.164745494994301245e-01 -4.872013570276034211e-01 6.065013010089126411e-01 1.192999439813092200e-01
1.099500000000000000e+03 3.640000000000000000e+02 7.280000000000000000e+02 -5.455428622835523988e+00 -9.496884840046415600e-05 -1.044182488163103439e-01 1.914024653887556882e-02 -2.025717661855582219e-01 -4.880662537207044460e-01 5.924845025370147900e-01 1.044182488163103439e-01
1.102500000000000000e+03 3.650000000000000000e+02 7.300000000000000000e+02 -5.786468764837806589e+00 -1.075961618903937411e-04 -1.186247684841590933e-01 2.050037307813656201e-02 -2.175078478504996471e-01 -4.889254908121351550e-01 6.075502592962942483e-01 1.186247684841590933e-01
1.105500000000000000e+03 3.660000000000000000e+02 7.320000000000000000e+02 -4.656927270661444851e+00 -9.205272296093094074e-05 -1.017642852333091597e-01 2.185223846514036672e-02 -2.016293404892125496e-01 -4.897791053343676371e-01 5.915433905676767967e-01 1.017642852333091597e-01
1.108500000000000000e+03 3.670000000000000000e+02 7.340000000000000000e+02 -5.083844132868695631e+00 -1.063818334744785993e-04 -1.179242624064595346e-01 2.319588471330996660e-02 -2.184961366130967475e-01 -4.906271340770591016e-01 6.085513964835186362e-01 1.179242624064595346e-01
1.111500000000000000e+03 3.680000000000000000e+02 7.360000000000000000e+02 -4.042814241918855522e+00 -8.922690635885194646e-05 -9.917570641786394026e-02 2.453135377567874920e-02 -2.007312162671714972e-01 -4.914696135886034711e-01 5.906453200064674114e-01 9.917570641786394026e-02
1.114500000000000000e+03 3.690000000000000000e+02 7.380000000000000000e+02 -4.532197838759998376e+00 -1.051562923177769255e-04 -1.171966877881623903e-01 2.585868754136893405e-02 -2.194378335618361042e-01 -4.923065801775970973e-01 6.095032679657594876e-01 1.171966877881623903e-01
1.117500000000000000e+03 3.700000000000000000e+02 7.400000000000000000e+02 -3.556440974733680260e+00 -8.649368783129434942e-05 -9.665669615147143290e-02 2.717792783239132703e-02 -1.998817747452927562e-01 -4.931380699144539692e-01 5.897947660659254021e-01 9.665669615147143290e-02
1.120500000000000000e+03 3.710000000000000000e+02 7.420000000000000000e+02 -4.087070119640525689e+00 -1.039152311040904378e-04 -1.164370164521333351e-01 2.848911641926379218e-02 -2.203280927003480050e-01 -4.939641186448547883e-01 6.104011350969881233e-01 1.164370164521333351e-01
1.123500000000000000e+03 3.720000000000000000e+02 7.440000000000000000e+02 -3.162209970190748454e+00 -8.385357569051728232e-05 -9.420949228829617050e-02 2.979229500140161135e-02 -1.990834679124599826e-01 -4.947847619808524722e-01 5.889942542691486427e-01 9.420949228829617050e-02
1.126500000000000000e+03 3.730000000000000000e+02 7.460000000000000000e+02 -3.719951793505588800e+00 -1.026578079808375670e-04 -1.156440206904135182e-01 3.108750519087601083e-02 -2.211658387012676585e-01 -4.956000352940143627e-01 6.112440559844278809e-01 1.156440206904135182e-01
1.129500000000000000e+03 3.740000000000000000e+02 7.480000000000000000e+02 -2.836638740536832959e+00 -8.130640047512330238e-05 -9.183557933665176254e-02 3.237478852145687924e-02 -1.983380001377837432e-01 -4.964099737245687427e-01 5.882455530612205052e-01 9.183557933665176254e-02
1.132500000000000000e+03 3.750000000000000000e+02 7.500000000000000000e+02 -3.411571443645143642e+00 -1.013807165007367611e-04 -1.148136614370843800e-01 3.365418644564864559e-02 -2.219472068075496185e-01 -4.972146121828290299e-01 6.120282736199134099e-01 1.148136614370843800e-01
1.135500000000000000e+03 3.760000000000000000e+02 7.520000000000000000e+02 -2.563693986358796639e+00 -7.885417037273352732e-05 -8.953891045823891837e-02 3.492574033198503347e-02 -1.976495261428172223e-01 -4.980139853507649095e-01 5.875528958090038278e-01 8.953891045823891837e-02
1.138500000000000000e+03 3.770000000000000000e+02 7.540000000000000000e+02 -3.148525477307943188e+00 -1.000821571187264850e-04 -1.139435358796700992e-01 3.618949146223655877e-02 -2.226699561866410937e-01 -4.988081276834487321e-01 6.127516635631188313e-01 1.139435358796700992e-01
1.141500000000000000e+03 3.780000000000000000e+02 7.560000000000000000e+02 -2.331927228372681515e+00 -7.649595864267422685e-05 -8.732013679061262357e-02 3.744548102881767315e-02 -1.970189228895274924e-01 -4.995970734105595334e-01 5.869172102011721570e-01 8.732013679061262357e-02
1.144500000000000000e+03 3.790000000000000000e+02 7.580000000000000000e+02 -2.921211221575810590e+00 -9.876157019737038384e-05 -1.130326170908904082e-01 3.869375013215113623e-02 -2.233332128789703164e-01 -5.003808565378254913e-01 6.134134736287158995e-01 1.130326170908904082e-01
1.147500000000000000e+03 3.800000000000000000e+02 7.600000000000000000e+02 -2.133026492432908761e+00 -7.423181148585022429e-05 -8.518100368001313427e-02 3.993433929780053349e-02 -1.964481523878495173e-01 -5.011595105449891951e-01 5.863405142250023294e-01 8.518100368001313427e-02
1.150500000000000000e+03 3.810000000000000000e+02 7.620000000000000000e+02 -2.722497733350011107e+00 -9.741664916994657538e-05 -1.120778548700235300e-01 4.116729042492632551e-02 -2.239340943689025476e-01 -5.019330696198667230e-01 6.140109244898902530e-01 1.120778548700235300e-01
1.153500000000000000e+03 3.820000000000000000e+02 7.640000000000000000e+02 -1.960809210031834837e+00 -7.206232029850205177e-05 -8.312388646432211647e-02 4.239264383247799695e-02 -1.959398026945869398e-01 -5.027015667949196187e-01 5.858254532592417352e-01 8.312388646432211647e-02
1.156500000000000000e+03 3.830000000000000000e+02 7.660000000000000000e+02 -2.547044207534697069e+00 -9.604644978089764797e-05 -1.110777191716081358e-01 4.361044022833081291e-02 -2.244712290918985664e-01 -5.034650351944146562e-01 6.145427543660227920e-01 1.110777191716081358e-01
1.159500000000000000e+03 3.840000000000000000e+02 7.680000000000000000e+02 -1.810524640064139268e+00 -6.998621676307191898e-05 -8.114901833678189735e-02 4.482072021616183288e-02 -1.954943322913802461e-01 -5.042235077256365106e-01 5.853725260624184079e-01 8.114901833678189735e-02
1.162500000000000000e+03 3.850000000000000000e+02 7.700000000000000000e+02 -2.390773442503696611e+00 -9.465102762205545293e-05 -1.100318196106394586e-01 4.602352429321387994e-02 -2.249443778107346747e-01 -5.049770170802519997e-01 6.150088366908914583e-01 1.100318196106394586e-01
1.165500000000000000e+03 3.860000000000000000e+02 7.720000000000000000e+02 -1.678510940997440137e+00 -6.800294145641323893e-05 -7.925742826744963665e-02 4.721889284817626375e-02 -1.951129888255669909e-01 -5.057255957357282838e-01 5.849830240031779205e-01 7.925742826744963665e-02
1.168500000000000000e+03 3.870000000000000000e+02 7.740000000000000000e+02 -2.250464491071089590e+00 -9.322886899008603465e-05 -1.089379334149155332e-01 4.840686615902455026e-02 -2.253514820801012231e-01 -5.064692759566389313e-01 6.154072093715544645e-01 1.089379334149155332e-01
1.171500000000000000e+03 3.880000000000000000e+02 7.760000000000000000e+02 -1.561877284204493455e+00 -6.611145151612833691e-05 -7.744956545114434210e-02 4.958748439099779082e-02 -1.947964423321460470e-01 -5.072080897960337120e-01 5.846576552471780541e-01 7.744956545114434210e-02
1.174500000000000000e+03 3.890000000000000000e+02 7.780000000000000000e+02 -2.123610783091173904e+00 -9.178046478846402885e-05 -1.077961558940510045e-01 5.076078759458010903e-02 -2.256927876854638026e-01 -5.079420690967482166e-01 6.157382249907992211e-01 1.077961558940510045e-01
1.177500000000000000e+03 3.900000000000000000e+02 7.800000000000000000e+02 -1.458318511940463358e+00 -6.431068926257294677e-05 -7.572583660667964178e-02 5.192681570359931886e-02 -1.945453188178405401e-01 -5.086712454927587723e-01 5.843970820994384141e-01 7.572583660667964178e-02
1.180500000000000000e+03 3.910000000000000000e+02 7.820000000000000000e+02 -2.008184215971904329e+00 -9.030553253011860460e-05 -1.066056811518050207e-01 5.308560853328432583e-02 -2.259676460799348585e-01 -5.093956504104548699e-01 6.160013315622598906e-01 1.066056811518050207e-01
1.183500000000000000e+03 3.920000000000000000e+02 7.840000000000000000e+02 -1.365965251583830309e+00 -6.259918752547743417e-05 -7.408613843640254881e-02 5.423720577847790381e-02 -1.943597353877275502e-01 -5.101153150699677674e-01 5.842014535063703162e-01 7.408613843640254881e-02
1.186500000000000000e+03 3.930000000000000000e+02 7.860000000000000000e+02 -1.902545454252194235e+00 -8.880413044357450634e-05 -1.053661007713011522e-01 5.538164701180076088e-02 -2.261758047692916940e-01 -5.108302704864275956e-01 6.161963712577287478e-01 1.053661007713011522e-01
1.189500000000000000e+03 3.940000000000000000e+02 7.880000000000000000e+02 -1.283280941783318863e+00 -6.097496360540875251e-05 -7.252971920863371391e-02 5.651897168194702781e-02 -1.942391622113041061e-01 -5.115405474712615419e-01 5.840702666798952558e-01 7.252971920863371391e-02
