# tau eta power W_out Q_hot
2.450000000000000000e+01 6.847944646151060688e-01 1.221751238500208211e-02 2.993290534325510066e-01 4.371078752816601187e-01
2.600000000000000000e+01 6.848000272288551349e-01 1.151285560471954940e-02 2.993342457227082809e-01 4.371119068642690952e-01
2.750000000000000000e+01 6.848031793925546395e-01 1.088498411758074234e-02 2.993370632334704240e-01 4.371140091653682447e-01
2.900000000000000000e+01 6.848056974172473943e-01 1.032202833574785185e-02 2.993388217366876880e-01 4.371149697872659390e-01
3.050000000000000000e+01 6.848081137587185285e-01 9.814440392277563527e-03 2.993404319644656919e-01 4.371157787857835597e-01
3.200000000000000000e+01 6.848098853323647539e-01 9.354425026587325637e-03 2.993416008507944204e-01 4.371163548632367446e-01
3.350000000000000000e+01 6.848109079219861783e-01 8.935589895632164645e-03 2.993422615036774870e-01 4.371166668650356968e-01
3.500000000000000000e+01 6.848118138723019444e-01 8.552656394868837775e-03 2.993429738204093082e-01 4.371171287594467492e-01
3.650000000000000000e+01 6.848128221047610209e-01 8.201199940350714992e-03 2.993437978228010721e-01 4.371176884550332931e-01
3.800000000000000000e+01 6.848136285460223460e-01 7.877483723323849829e-03 2.993443814863062657e-01 4.371180259976223392e-01
3.950000000000000000e+01 6.848141118339147182e-01 7.578347650454365751e-03 2.993447321929474381e-01 4.371182296336006967e-01
4.100000000000000000e+01 6.848143722019411905e-01 7.301097082552470384e-03 2.993449803846512935e-01 4.371184258620949281e-01
4.250000000000000000e+01 6.848145158441747427e-01 7.043414098949415079e-03 2.993450992053501292e-01 4.371185076828368876e-01
4.400000000000000000e+01 6.848147199441972921e-01 6.803299900240331564e-03 2.993451956105745992e-01 4.371185181810446352e-01
4.550000000000000000e+01 6.848150513859135868e-01 6.579020084307938762e-03 2.993454138360112093e-01 4.371186252845969955e-01
4.700000000000000000e+01 6.848153176795448438e-01 6.369055970969752720e-03 2.993456306355783969e-01 4.371187718900519381e-01
4.850000000000000000e+01 6.848154068440174269e-01 6.172076997702161637e-03 2.993457343885548294e-01 4.371188664812527547e-01
5.000000000000000000e+01 6.848154648900532937e-01 5.986916492467393366e-03 2.993458246233696718e-01 4.371189611955236254e-01
5.150000000000000000e+01 6.848156134635423609e-01 5.812542718985456644e-03 2.993459500277509955e-01 4.371190494821965977e-01
5.300000000000000000e+01 6.848158037756901795e-01 5.648038503301902082e-03 2.993460406750008129e-01 4.371190603729859792e-01
5.450000000000000000e+01 6.848159724139769589e-01 5.492589105855004428e-03 2.993461062690977448e-01 4.371190485144533233e-01
5.600000000000000000e+01 6.848160946610979405e-01 5.345467554942052828e-03 2.993461830767549792e-01 4.371190826420274789e-01
5.750000000000000000e+01 6.848161676307013002e-01 5.206021587041000792e-03 2.993462412548575369e-01 4.371191210197669652e-01
5.900000000000000000e+01 6.848162455806097171e-01 5.073666056876127185e-03 2.993462973556915152e-01 4.371191531852400836e-01
6.050000000000000000e+01 6.848163716002280132e-01 4.947874277697163550e-03 2.993463938006784009e-01 4.371192135801134637e-01
6.200000000000000000e+01 6.848164802168124066e-01 4.828168951071413334e-03 2.993464749664276336e-01 4.371192627719104329e-01
6.350000000000000000e+01 6.848165139939915713e-01 4.714117967336769154e-03 2.993464909258848339e-01 4.371192645166135926e-01
6.500000000000000000e+01 6.848165221740971642e-01 4.605330644456280369e-03 2.993464918896582283e-01 4.371192607025871646e-01
6.650000000000000000e+01 6.848165527603834457e-01 4.501451333883335973e-03 2.993465137032418344e-01 4.371192730325005327e-01
6.800000000000000000e+01 6.848165912094149599e-01 4.402154882240681688e-03 2.993465319923663825e-01 4.371192751970389700e-01
6.950000000000000000e+01 6.848166223108830275e-01 4.307144650338225710e-03 2.993465531985066708e-01 4.371192863110932025e-01
7.100000000000000000e+01 6.848166434207489939e-01 4.216149159317688147e-03 2.993465903115558602e-01 4.371193270307806023e-01
7.250000000000000000e+01 6.848166546990962500e-01 4.128918817327758943e-03 2.993466142562625221e-01 4.371193547969322579e-01
7.400000000000000000e+01 6.848166839641552928e-01 4.045224733658425720e-03 2.993466302907235033e-01 4.371193595312463653e-01
7.550000000000000000e+01 6.848167457106230094e-01 3.964856445935481359e-03 2.993466616681288439e-01 4.371193659370898876e-01
7.700000000000000000e+01 6.848167986076193481e-01 3.887619302808510181e-03 2.993466863162552727e-01 4.371193681651673879e-01
7.850000000000000000e+01 6.848168098488779387e-01 3.813333563966221727e-03 2.993466847713484036e-01 4.371193587339171627e-01
8.000000000000000000e+01 6.848168122735067698e-01 3.741833621894030595e-03 2.993466897515224545e-01 4.371193644585456561e-01
8.150000000000000000e+01 6.848168407367931643e-01 3.672965866144622428e-03 2.993467180907867231e-01 4.371193876726514604e-01
8.300000000000000000e+01 6.848168868990980318e-01 3.606587329046704454e-03 2.993467483108764871e-01 4.371194023359162850e-01
8.450000000000000000e+01 6.848169298749842149e-01 3.542565362028201378e-03 2.993467730913830227e-01 4.371194110899534468e-01
8.600000000000000000e+01 6.848169512502689793e-01 3.480776628305995869e-03 2.993467900343156352e-01 4.371194221869052488e-01
8.750000000000000000e+01 6.848169420914708150e-01 3.421106115661203418e-03 2.993467851203552854e-01 4.371194208573940809e-01
8.900000000000000000e+01 6.848169280455711494e-01 3.363446875657183886e-03 2.993467719334893529e-01 4.371194105668622099e-01
9.050000000000000000e+01 6.848169378895486714e-01 3.307699207657189069e-03 2.993467782929756238e-01 4.371194135698437400e-01
9.200000000000000000e+01 6.848169575920578511e-01 3.253769500013466067e-03 2.993467940012388695e-01 4.371194239316110730e-01
