# tau eta power W_out Q_hot
2.450000000000000000e+01 6.280166211682489674e-01 1.026424458158286049e-02 2.514739922487800872e-01 4.004256953916015549e-01
2.457499999999999929e+01 6.294175422795775798e-01 1.026976209591638767e-02 2.523794035071452724e-01 4.009729417345063718e-01
2.464999999999999858e+01 6.305679226409650617e-01 1.027426825234919322e-02 2.532607124204075966e-01 4.016390674611116651e-01
2.472500000000000142e+01 6.313685719474259050e-01 1.027573178949474364e-02 2.540674684952575202e-01 4.024075314860837693e-01
2.479999999999999716e+01 6.317841226308406055e-01 1.027300094912088867e-02 2.547704235381980098e-01 4.032555020175199179e-01
2.487500000000000000e+01 6.318454279589227340e-01 1.026588835883027878e-02 2.553639729259031821e-01 4.041557659929839730e-01
2.494999999999999929e+01 6.316402461775862953e-01 1.025507521630540306e-02 2.558641266468197895e-01 4.050788850064556135e-01
2.502499999999999858e+01 6.312945509341215677e-01 1.024186618594412519e-02 2.563027013032517232e-01 4.059954278458488552e-01
2.509999999999999787e+01 6.309484038225589009e-01 1.022785236045561756e-02 2.567190942474359971e-01 4.068781103052491188e-01
2.517499999999999716e+01 6.307308354014555807e-01 1.021454960994876149e-02 2.571512864304600354e-01 4.077036859420153370e-01
2.524999999999999645e+01 6.307381158173179792e-01 1.020308094127868326e-02 2.576277937672867280e-01 4.084544556712726426e-01
2.532499999999999574e+01 6.310190324537591211e-01 1.019396103599834805e-02 2.581620632366581347e-01 4.091192974525315607e-01
2.539999999999999858e+01 6.315692484168373699e-01 1.018701695584835892e-02 2.587502306785482986e-01 4.096941567803701334e-01
2.547499999999999432e+01 6.323353081051499291e-01 1.018145433902722247e-02 2.593725492867184901e-01 4.101819809239370951e-01
2.554999999999999716e+01 6.332272037855347646e-01 1.017605095988709241e-02 2.599981020251151964e-01 4.105921231286407957e-01
2.562499999999999645e+01 6.341370068952635330e-01 1.016943631684048138e-02 2.605918056190372756e-01 4.109392809211616093e-01
2.569999999999999574e+01 6.349601592942826223e-01 1.016040185542287436e-02 2.611223276843678276e-01 4.112420659188892880e-01
2.577499999999999503e+01 6.356156106381061210e-01 1.014818157079284792e-02 2.615693799871856573e-01 4.115213276851262258e-01
2.584999999999999432e+01 6.360612853160643176e-01 1.013264985417221438e-02 2.619289987303516920e-01 4.117983671969548398e-01
2.592499999999999716e+01 6.363021770329931881e-01 1.011439876251119321e-02 2.622157879181026274e-01 4.120931805400790959e-01
2.599999999999999289e+01 6.363896897971662581e-01 1.009467921305459356e-02 2.624616595394193563e-01 4.124228656549615568e-01
2.607499999999999574e+01 6.364124549365122174e-01 1.007521602572332593e-02 2.627112578707356816e-01 4.128003087195134535e-01
2.614999999999999503e+01 6.364802314824899998e-01 1.005792692666332769e-02 2.630147891322459630e-01 4.132332413838397112e-01
2.622499999999999432e+01 6.367039077457206098e-01 1.004459542889430887e-02 2.634195151227531895e-01 4.137237292219582141e-01
2.629999999999999361e+01 6.371751317568280504e-01 1.003655293508266648e-02 2.639613421926740866e-01 4.142681172519653288e-01
2.637499999999999289e+01 6.379492324855907670e-01 1.003442555563130272e-02 2.646579740297755334e-01 4.148574221158786157e-01
2.644999999999999218e+01 6.390344038908980506e-01 1.003798933612944089e-02 2.655048179406236386e-01 4.154781281321328068e-01
2.652499999999999147e+01 6.403888642809308918e-01 1.004615767783698446e-02 2.664743324046259243e-01 4.161133137501386026e-01
2.659999999999999432e+01 6.419266399114469390e-01 1.005710841617980279e-02 2.675190838703827012e-01 4.167440128474597660e-01
2.667499999999999005e+01 6.435305063748034682e-01 1.006852511291804822e-02 2.685779073870888656e-01 4.173507001246408166e-01
2.674999999999999289e+01 6.450701582139110046e-01 1.007791983286227162e-02 2.695843555290656779e-01 4.179147835260255683e-01
2.682499999999999218e+01 6.464222830422340360e-01 1.008298248032172759e-02 2.704760050346302069e-01 4.184199897344174079e-01
