# tau eta power W_out Q_hot
2.450000000000000000e+01 3.304163339757514029e-02 3.105995474702832448e-04 7.609688913021939172e-03 2.303060754127367049e-01
2.457499999999999929e+01 5.132616329144569500e-02 4.874734116368749088e-04 1.197965909097620241e-02 2.334025830637685428e-01
2.464999999999999858e+01 6.989545892982557129e-02 6.706627886651553554e-04 1.653183774059607813e-02 2.365223434213930831e-01
2.472500000000000142e+01 8.863994037007050242e-02 8.591814809334533121e-04 2.124326211607963089e-02 2.396579017019789259e-01
2.479999999999999716e+01 1.074466107819176813e-01 1.051943990651691167e-03 2.608821096816194007e-02 2.428016182019243074e-01
2.487500000000000000e+01 1.262011236018653060e-01 1.247784054218090133e-03 3.103862834867499032e-02 2.459457369539317373e-01
2.494999999999999929e+01 1.447897518593411481e-01 1.445474413399661269e-03 3.606458661432154766e-02 2.490824533586962486e-01
2.502499999999999858e+01 1.631011712586145634e-01 1.643746836639556645e-03 4.113476458690490389e-02 2.522039803238523836e-01
2.509999999999999787e+01 1.810281355078671717e-01 1.841312985120954759e-03 4.621695592653596307e-02 2.553026124744429692e-01
2.517499999999999716e+01 1.984688914480664257e-01 2.036884364562194325e-03 5.127856387785323378e-02 2.583707880046851035e-01
2.524999999999999645e+01 2.153285919723905428e-01 2.229193706635971932e-03 5.628714109255827935e-02 2.614011477852203891e-01
2.532499999999999574e+01 2.315203166972326365e-01 2.417013518662724288e-03 6.121086736013348073e-02 2.643865913512079002e-01
2.539999999999999858e+01 2.469660559008364231e-01 2.599175095450900232e-03 6.601904742445285912e-02 2.673203294422019649e-01
2.547499999999999432e+01 2.615974870593092971e-01 2.774585948141730044e-03 7.068257702891056482e-02 2.701959327800630972e-01
2.554999999999999716e+01 2.753565575528748588e-01 2.942245458611947480e-03 7.517437146753525035e-02 2.730073768194172246e-01
2.562499999999999645e+01 2.881959582178612034e-01 3.101259355435417083e-03 7.946977098303253939e-02 2.757490822371544414e-01
2.569999999999999574e+01 3.000793378118322141e-01 3.250851136009530809e-03 8.354687419544493121e-02 2.784159509437262314e-01
2.577499999999999503e+01 3.109814912932189479e-01 3.390372671429160538e-03 8.738685560608661085e-02 2.810033974777331189e-01
2.584999999999999432e+01 3.208883573691084234e-01 3.519312033641898863e-03 9.097421606964306573e-02 2.835073756353151397e-01
2.592499999999999716e+01 3.297968352737450370e-01 3.637298450569820783e-03 9.429696233102258240e-02 2.859244002531200479e-01
2.599999999999999289e+01 3.377145417593634957e-01 3.744105572279081504e-03 9.734674487925609743e-02 2.882515640934998347e-01
2.607499999999999574e+01 3.446594182969834330e-01 3.839651976365225563e-03 1.001189252837232369e-01 2.904865498190261075e-01
2.614999999999999503e+01 3.506593178394754040e-01 3.924000290504538364e-03 1.026126075966936613e-01 2.926276370721384579e-01
2.622499999999999432e+01 3.557513664380950735e-01 3.997352644730419249e-03 1.048305731080552139e-01 2.946737047215164385e-01
2.629999999999999361e+01 3.599810829321022365e-01 4.060042241432964584e-03 1.067791109496869506e-01 2.966242283620972309e-01
2.637499999999999289e+01 3.634021498148543583e-01 4.112531168162247147e-03 1.084680095602792438e-01 2.984792732116234859e-01
2.644999999999999218e+01 3.660750261215731660e-01 4.155394193169678792e-03 1.099101764093379785e-01 3.002394825284719349e-01
2.652499999999999147e+01 3.680663414641716646e-01 4.189310447586879795e-03 1.111214596222419582e-01 3.019060617719068196e-01
2.659999999999999432e+01 3.694478264689478042e-01 4.215049123165121557e-03 1.121203066761922162e-01 3.034807586981864702e-01
