# tau eta power W_out Q_hot
2.450000000000000000e+01 -1.058453203883966465e+00 -3.146843009483333686e-03 -7.709765373234167551e-02 7.283992664903260472e-02
2.457499999999999929e+01 3.685416513446446163e-01 6.209087931883803049e-03 1.525883359260444827e-01 4.140328111336059047e-01
2.464999999999999858e+01 6.213114764610627727e-01 1.044936787841429203e-02 2.575769182029122861e-01 4.145697093349192119e-01
2.472500000000000142e+01 4.366427445887516301e-01 4.901659636747208830e-03 1.211935345185747304e-01 2.775576510099116989e-01
2.479999999999999716e+01 6.212114159204128461e-01 1.032766899401444879e-02 2.561261910515583162e-01 4.123011658954641723e-01
2.487500000000000000e+01 6.121913191471199944e-01 1.025445044247164095e-02 2.550794547564820824e-01 4.166662394230751243e-01
2.494999999999999929e+01 5.062214666412626629e-01 8.482043975014279258e-03 2.116269971766062685e-01 4.180521987357307956e-01
2.502499999999999858e+01 1.202245006821035567e+01 -6.858591858233900433e-03 -1.716362612523033571e-01 -1.427631308747476235e-02
2.509999999999999787e+01 6.342576883786717801e+00 -6.940568733900124090e-03 -1.742082752208931051e-01 -2.746648222210990031e-02
2.517499999999999716e+01 4.329794178691351858e-01 7.222799669327303017e-03 1.818339816753148375e-01 4.199598737745839361e-01
2.524999999999999645e+01 4.364039629134631171e-01 7.271709920583603604e-03 1.836106754947359754e-01 4.207355823923741855e-01
2.532499999999999574e+01 4.515481780547738189e-01 4.942622422312170291e-03 1.251719128450556884e-01 2.772061076279485059e-01
2.539999999999999858e+01 6.433579495713019902e-01 1.069134762792933041e-02 2.715602297494049688e-01 4.220981957716659072e-01
2.547499999999999432e+01 6.451703980365715019e-01 1.070408336455059943e-02 2.726865237119264762e-01 4.226581451067586426e-01
2.554999999999999716e+01 6.464761718745138941e-01 1.070608936056108296e-02 2.735405831623356487e-01 4.231255459411302766e-01
2.562499999999999645e+01 6.472603545895138089e-01 1.069708288083195784e-02 2.741127488213188634e-01 4.234968925219566027e-01
2.569999999999999574e+01 6.475453201197644004e-01 1.070812342246929387e-02 2.751987719574607860e-01 4.249876624952866333e-01
2.577499999999999503e+01 6.313908085104674717e-01 9.870438292825543802e-03 2.544105469975783684e-01 4.029367288348174037e-01
2.584999999999999432e+01 6.315299963557789997e-01 1.007732979004675143e-02 2.604989750727084719e-01 4.124886807846157577e-01
2.592499999999999716e+01 6.463208622662340863e-01 1.057290311793580503e-02 2.741025133324856977e-01 4.240966512691287660e-01
2.599999999999999289e+01 4.438929255469797885e-01 4.512484516774176169e-03 1.173245974361285526e-01 2.643083290673245989e-01
2.607499999999999574e+01 4.359050811816556070e-01 7.088411762676308583e-03 1.848303367117847262e-01 4.240151002845502504e-01
2.614999999999999503e+01 6.502777635905248044e-01 1.060002847628081085e-02 2.771907446547431375e-01 4.262651441811997066e-01
2.622499999999999432e+01 6.442571359113506979e-01 1.041244188477265069e-02 2.730662884281627178e-01 4.238467425617097328e-01
2.629999999999999361e+01 6.351419382037287731e-01 9.945931567201108867e-03 2.615780002173890839e-01 4.118418017823994859e-01
2.637499999999999289e+01 6.321633492089262507e-01 1.015600029813865622e-02 2.678645078634069865e-01 4.237267285403465422e-01
2.644999999999999218e+01 2.212857194239232217e-01 2.659518482650391046e-03 7.034426386610281856e-02 3.178888545055288950e-01
2.652499999999999147e+01 3.744665523689265640e-01 3.480560797456057082e-03 9.232187515252188170e-02 2.465423802699629185e-01
2.659999999999999432e+01 5.210894492410906853e-01 6.099785958884429253e-03 1.622543065063257739e-01 3.113751520830660979e-01
2.667499999999999005e+01 -4.913217326992158074e-01 -1.911225328547558203e-03 -5.098193563900610403e-02 1.037648698316728790e-01
2.674999999999999289e+01 5.285933000852589547e-01 6.405738074239146311e-03 1.713534934858971237e-01 3.241688713388134468e-01
2.682499999999999218e+01 5.456435735795233111e-01 6.634124236522816014e-03 1.779603826447244685e-01 3.261476745291276291e-01
2.689999999999999147e+01 6.114217762329836603e-01 8.827491012888636149e-03 2.374595082467042539e-01 3.883726708422301499e-01
2.697499999999999076e+01 6.528099828910697289e-01 1.029223577787115318e-02 2.776330601080743143e-01 4.252892378859365330e-01
2.704999999999999005e+01 6.532374882283505935e-01 1.028061512690361078e-02 2.780906391827425717e-01 4.257113901055402105e-01
2.712499999999999289e+01 6.534149360282751617e-01 1.026565806526672821e-02 2.784559750203599027e-01 4.261548973963311671e-01
2.719999999999998863e+01 2.698178792851014807e-01 3.110130787801770446e-03 8.459555742820812352e-02 3.135283608793794086e-01
2.727499999999999147e+01 6.531870566234284636e-01 1.022711851292769890e-02 2.789446574401028833e-01 4.270517221851785616e-01
2.734999999999999076e+01 6.529153194590080478e-01 1.020500852289231951e-02 2.791069831011048219e-01 4.274780737758872018e-01
2.742499999999999005e+01 4.652959718804263178e-01 7.285486869251627147e-03 1.998044773892257986e-01 4.294137268838690291e-01
2.749999999999998934e+01 6.524532111639833598e-01 1.015992257471057085e-02 2.793978708045405934e-01 4.282266774441830792e-01
2.757499999999998863e+01 6.524090617534830105e-01 1.013878726389200527e-02 2.795770588018219316e-01 4.285303120260183229e-01
2.764999999999998792e+01 4.874976741252196044e-01 6.598211071509044005e-03 1.824405361272249948e-01 3.742387826867107359e-01
2.772499999999998721e+01 6.529358314616994230e-01 1.010238573131770276e-02 2.800886444007831821e-01 4.289681020779037013e-01
2.779999999999999005e+01 2.409754065379790255e-01 1.643488242970479480e-03 4.568897315457931541e-02 1.896001497039843664e-01
2.787499999999998579e+01 5.378678427094949477e-01 6.459358413123687283e-03 1.800546157658227120e-01 3.347562383703818201e-01
2.794999999999998863e+01 6.567270912896931989e-01 1.003612544557085096e-02 2.805097062037051892e-01 4.271328378624290600e-01
2.802499999999998792e+01 4.079456002461259723e-01 5.767352656843479676e-03 1.616300582080384407e-01 3.962049305361354801e-01
2.809999999999998721e+01 4.493026345287688961e-01 6.621096340886469152e-03 1.860528071789097071e-01 4.140924020488838675e-01
2.817499999999998650e+01 4.772639260820168428e-01 7.330451741104661995e-03 2.065354778056237572e-01 4.327489812631073463e-01
