# tau eta eta_joint W_out W_out_joint power power_joint
5.000000000000000000e+00 6.814944043290425135e-01 7.362976891444571459e-01 2.944325608609899003e-01 3.181097493885803873e-01 1.201765554534652697e-02 1.298407140361552622e-02
5.049999999999999822e+00 6.807477914656947515e-01 7.453349113210238075e-01 2.943750205134937348e-01 3.223043578843636237e-01 1.197863766077288637e-02 1.311513155175436825e-02
5.099999999999999645e+00 6.798895506516225984e-01 7.462199757151302126e-01 2.942351560287956858e-01 3.229409111758076989e-01 1.193651748595520035e-02 1.310105116331877068e-02
5.149999999999999467e+00 6.790045861491346146e-01 7.417139567687849322e-01 2.939753204082686810e-01 3.211253687239417065e-01 1.188980062318579188e-02 1.298788144485103074e-02
5.199999999999999289e+00 6.780544682294527004e-01 7.331706638874178061e-01 2.935624290584450957e-01 3.174248841205913330e-01 1.183719472009859414e-02 1.279939048873352317e-02
5.249999999999999112e+00 6.770324869842605509e-01 7.206256385780817064e-01 2.930346676762392022e-01 3.119027499851938501e-01 1.178028814778851047e-02 1.253880401950527995e-02
5.299999999999998934e+00 6.761359604454171279e-01 7.049250326657920951e-01 2.925479403710392612e-01 3.050042868397517815e-01 1.172536835154465960e-02 1.222462071502011111e-02
5.349999999999998757e+00 6.757151874493561028e-01 6.885827506795321185e-01 2.923157627538363057e-01 2.978822967466718818e-01 1.168094956059285983e-02 1.190338848138548962e-02
5.399999999999998579e+00 6.760039383995267714e-01 6.741828793931649022e-01 2.924659100518407495e-01 2.916780482520786588e-01 1.165202828891795904e-02 1.162063937259277639e-02
5.449999999999998401e+00 6.769058986432135994e-01 6.625895595114191794e-01 2.929442037881648808e-01 2.867485293575962046e-01 1.163631395384964913e-02 1.139020970635933397e-02
5.499999999999998224e+00 6.780724549114165445e-01 6.534441812139440975e-01 2.935644981093205041e-01 2.829019402146158990e-01 1.162631675680477449e-02 1.120403723622241318e-02
5.549999999999998046e+00 6.791923060224183128e-01 6.472646861535948926e-01 2.941578928702295315e-01 2.803300545662650300e-01 1.161531659902189859e-02 1.106930126619013084e-02
5.599999999999997868e+00 6.801894708227420594e-01 6.461950104934838235e-01 2.946753168505051867e-01 2.799480551118467275e-01 1.160139042718524340e-02 1.102157697290735185e-02
5.649999999999997691e+00 6.811468234558787360e-01 6.521073353555382202e-01 2.951556902661887083e-01 2.825722503086389725e-01 1.158609186520858682e-02 1.109213936442155109e-02
5.699999999999997513e+00 6.820822426495007917e-01 6.642181707742593755e-01 2.956170255364556354e-01 2.878746691730720286e-01 1.157013798577125920e-02 1.126711033945487599e-02
5.749999999999997335e+00 6.828438696114164097e-01 6.791904616960300345e-01 2.959968276657743980e-01 2.944131608844664516e-01 1.155109571378632079e-02 1.148929408329625416e-02
5.799999999999997158e+00 6.832218884779245327e-01 6.937454953218636922e-01 2.961952932924709625e-01 3.007575634249155527e-01 1.152510868842299661e-02 1.170262892703951771e-02
5.849999999999996980e+00 6.831224740309914667e-01 7.067543953896232578e-01 2.961584053399755057e-01 3.064037016239542499e-01 1.149014181726384226e-02 1.188763148880520905e-02
5.899999999999996803e+00 6.826110726330011369e-01 7.184562000593393005e-01 2.959114669273699150e-01 3.114503069259835222e-01 1.144725210550754345e-02 1.204836777276532302e-02
5.949999999999996625e+00 6.818189032313618503e-01 7.280332213666490526e-01 2.955288181996618135e-01 3.155600358114007964e-01 1.139937582255204883e-02 1.217203609687177862e-02
5.999999999999996447e+00 6.808620339855978587e-01 7.328168739943797805e-01 2.950953749493138156e-01 3.176133480885642291e-01 1.134982211343514916e-02 1.221589800340631971e-02
6.049999999999996270e+00 6.798621932227028042e-01 7.303774005985552709e-01 2.946984792941169662e-01 3.165952032821417461e-01 1.130195510236306836e-02 1.214171441158741309e-02
6.099999999999996092e+00 6.789904228127635610e-01 7.211485768994750911e-01 2.944252725163012396e-01 3.127059810340222512e-01 1.125909263924670424e-02 1.195816371067006875e-02
6.149999999999995914e+00 6.784168125898154544e-01 7.084610562907215359e-01 2.943284305113014199e-01 3.073630059084375699e-01 1.122320040081225927e-02 1.172022901462107213e-02
6.199999999999995737e+00 6.781929191112356925e-01 6.958490156611142341e-01 2.943807744660593695e-01 3.020446931386580047e-01 1.119318534091480813e-02 1.148458909272464211e-02
6.249999999999995559e+00 6.782177287565369639e-01 6.846051377927550030e-01 2.944830061525591791e-01 2.972564273339254326e-01 1.116523246076054146e-02 1.127038587048058774e-02
6.299999999999995381e+00 6.783609187605894597e-01 6.740911320818593344e-01 2.945456721867519834e-01 2.926917222427039000e-01 1.113594223768438890e-02 1.106584961220052898e-02
6.349999999999995204e+00 6.786220154804033511e-01 6.640134759042430890e-01 2.945773388989378905e-01 2.882360404804085174e-01 1.110564896885722803e-02 1.086658022546309506e-02
6.399999999999995026e+00 6.791382489344215401e-01 6.557955159579696991e-01 2.946862543022379377e-01 2.845575617174794791e-01 1.107843061286608970e-02 1.069765269614584777e-02
6.449999999999994849e+00 6.800145158204526918e-01 6.515964927288772079e-01 2.949838575241554572e-01 2.826563882132255845e-01 1.105843889500114467e-02 1.059630321324182313e-02
6.499999999999994671e+00 6.811553719673248963e-01 6.524382108925342871e-01 2.954798418762242251e-01 2.830225633128831131e-01 1.104597539724203048e-02 1.058028274066852986e-02
6.549999999999994493e+00 6.822856376715530358e-01 6.577140109465635653e-01 2.960660371517186418e-01 2.854036052475885654e-01 1.103694453501281522e-02 1.063946338294832067e-02
6.599999999999994316e+00 6.831387714949460621e-01 6.663259300005961450e-01 2.965928204671371970e-01 2.892933254202321169e-01 1.102575540770027104e-02 1.075439871450677327e-02
6.649999999999994138e+00 6.836129626747019516e-01 6.776298579011702516e-01 2.969542840170349418e-01 2.943552862050691221e-01 1.100849987088174317e-02 1.091215148118884759e-02
6.699999999999993960e+00 6.837498611753226596e-01 6.909103928972945008e-01 2.971099810282514797e-01 3.002214484886035484e-01 1.098373312488915357e-02 1.109875964837721447e-02
6.749999999999993783e+00 6.836017673294468855e-01 7.043478859161563799e-01 2.970551116511361833e-01 3.060702149870710986e-01 1.095134052170087732e-02 1.128369456173534437e-02
6.799999999999993605e+00 6.831630732999838251e-01 7.152850443297975591e-01 2.968013528130062362e-01 3.107567974634557473e-01 1.091181444165464573e-02 1.142488225968587776e-02
6.849999999999993427e+00 6.824351740051554094e-01 7.218919300682001827e-01 2.963943849276775566e-01 3.135311935067429667e-01 1.086688853996984998e-02 1.149518582976143295e-02
6.899999999999993250e+00 6.815192259585288737e-01 7.243105770015717537e-01 2.959294246661390293e-01 3.145102943063816658e-01 1.082008865324091823e-02 1.149946231467575096e-02
6.949999999999993072e+00 6.806035705217577947e-01 7.237550048291310212e-01 2.955209049845406444e-01 3.142574374833636552e-01 1.077560273416739225e-02 1.145879443877351883e-02
6.999999999999992895e+00 6.798532795193044098e-01 7.205301161323427461e-01 2.952423170477650460e-01 3.129071924754429634e-01 1.073608425628237023e-02 1.137844336274338418e-02
7.049999999999992717e+00 6.793316775342197467e-01 7.134219186610499808e-01 2.950970212262149506e-01 3.099055881488199660e-01 1.070161455036138139e-02 1.123864326922285016e-02
7.099999999999992539e+00 6.790355405979493497e-01 7.014022080540118775e-01 2.950502540271172647e-01 3.047688777516428527e-01 1.067089526318688517e-02 1.102238255882976442e-02
7.149999999999992362e+00 6.789782442568027543e-01 6.857968916015045879e-01 2.950831519826677685e-01 2.980465281552507895e-01 1.064321558097990582e-02 1.075010020397658937e-02
7.199999999999992184e+00 6.792020221884469411e-01 6.703670308404204858e-01 2.952074713484033053e-01 2.913674423584539097e-01 1.061897378951091354e-02 1.048084325030410047e-02
7.249999999999992006e+00 6.797050477839586824e-01 6.590179743232926768e-01 2.954312709061288622e-01 2.864397113705057230e-01 1.059843124326920009e-02 1.027586408504056747e-02
