# tau eta eta_joint W_out W_out_joint power power_joint
5.000000000000000000e+00 6.847560276917287192e-01 6.841596181566883539e-01 2.993011760346171446e-01 2.990404903772194700e-01 1.221637453202518986e-02 1.220573430111099832e-02
5.049999999999999822e+00 6.847568708234594848e-01 6.854621862783902841e-01 2.993017610616048874e-01 2.996100488156377972e-01 1.217911540433793890e-02 1.219166017561089561e-02
5.099999999999999645e+00 6.847567317581469970e-01 6.842946798818376752e-01 2.993017526584798027e-01 2.990997934370736022e-01 1.214205893137849240e-02 1.213386585951617067e-02
5.149999999999999467e+00 6.847594596817794255e-01 6.853350289957660380e-01 2.993028745760193399e-01 2.995544513125772967e-01 1.210527298588551584e-02 1.211544798028624075e-02
5.199999999999999289e+00 6.847565152862162829e-01 6.845288645328378996e-01 2.993014477274700269e-01 2.992019434532625644e-01 1.206860676320443797e-02 1.206459449408316988e-02
5.249999999999999112e+00 6.847614589121183704e-01 6.852102958697283697e-01 2.993034563655164737e-01 2.994996392128552731e-01 1.203229975338759687e-02 1.204018650101930724e-02
5.299999999999998934e+00 6.847568503789798200e-01 6.847062630282233497e-01 2.993013319514981063e-01 2.992792206554184542e-01 1.199604536879751888e-02 1.199515914450574941e-02
5.349999999999998757e+00 6.847626776837266727e-01 6.851277265747324208e-01 2.993038553385534151e-01 2.994634150576004350e-01 1.196019401952261481e-02 1.196657003227174706e-02
5.399999999999998579e+00 6.847582645026478732e-01 6.847765041507911654e-01 2.993020184481027801e-01 2.993099908433085599e-01 1.192438320510369812e-02 1.192470083041070016e-02
5.449999999999998401e+00 6.847638046588515603e-01 6.850262876398444112e-01 2.993046591036949700e-01 2.994193882681339680e-01 1.188896361881608757e-02 1.189352088453362460e-02
5.499999999999998224e+00 6.847601983332071152e-01 6.848085000768369124e-01 2.993034220320094363e-01 2.993245343530726021e-01 1.185360087255483107e-02 1.185443700408208428e-02
5.549999999999998046e+00 6.847656742414172104e-01 6.848271789531099607e-01 2.993062506815156176e-01 2.993331339575741046e-01 1.181860812167880199e-02 1.181966965281635445e-02
5.599999999999997868e+00 6.847619173381735980e-01 6.848827533338782692e-01 2.993051070725080143e-01 2.993579237226704493e-01 1.178366563277590678e-02 1.178574502845159376e-02
5.649999999999997691e+00 6.847682859381215570e-01 6.845475595968597560e-01 2.993084098995768549e-01 2.992119316432342302e-01 1.174910343079791503e-02 1.174531625684923503e-02
5.699999999999997513e+00 6.847633524645009295e-01 6.849955656972019913e-01 2.993067511361197086e-01 2.994082504175874515e-01 1.171454994661916792e-02 1.171852252123630096e-02
5.749999999999997335e+00 6.847706966623925418e-01 6.843120899686778724e-01 2.993104029965485413e-01 2.991099479318360954e-01 1.168040597059701903e-02 1.167258333392531475e-02
5.799999999999997158e+00 6.847649988156293555e-01 6.850763924131644256e-01 2.993082728690570349e-01 2.994443818699871196e-01 1.164623629840689026e-02 1.165153236848199061e-02
5.849999999999996980e+00 6.847719321464973419e-01 6.842440934421831766e-01 2.993115719302409383e-01 2.990808553589313634e-01 1.161247611756511915e-02 1.160352494118065472e-02
5.899999999999996803e+00 6.847671580830863025e-01 6.850822929341001677e-01 2.993096651554405518e-01 2.994474096509560646e-01 1.157871045088745138e-02 1.158403905806406654e-02
5.949999999999996625e+00 6.847719449336004960e-01 6.843516332952581660e-01 2.993118669759871064e-01 2.991281499558685608e-01 1.154529862973913829e-02 1.153821214873167363e-02
5.999999999999996447e+00 6.847695116266478976e-01 6.850502787968703045e-01 2.993108696395682111e-01 2.994335921972444137e-01 1.151195652459878135e-02 1.151667662297094219e-02
6.049999999999996270e+00 6.847716216890672447e-01 6.845266819728328400e-01 2.993118499123430531e-01 2.992047874155031595e-01 1.147888206758746268e-02 1.147477612331747679e-02
6.099999999999996092e+00 6.847715190148979669e-01 6.850479951729386840e-01 2.993118879755746198e-01 2.994327350005245858e-01 1.144596129925715827e-02 1.145058260040247161e-02
6.149999999999995914e+00 6.847718896553381951e-01 6.846516855016242520e-01 2.993121907101804480e-01 2.992596497558508428e-01 1.141323892126522473e-02 1.141123545303530593e-02
6.199999999999995737e+00 6.847731129966985186e-01 6.850873197732094688e-01 2.993129441057454931e-01 2.994502832529031267e-01 1.138072030820325327e-02 1.138594232900772690e-02
6.249999999999995559e+00 6.847729024508775186e-01 6.846974373440748440e-01 2.993131584287584968e-01 2.992801727492909736e-01 1.134836619635103648e-02 1.134711555447548946e-02
6.299999999999995381e+00 6.847748182434981734e-01 6.851064763330138030e-01 2.993143856773785583e-01 2.994593530953875149e-01 1.131623386303889055e-02 1.132171467279348247e-02
6.349999999999995204e+00 6.847741030706715470e-01 6.847173694047193893e-01 2.993145299780499702e-01 2.992897317117571010e-01 1.128424241199057695e-02 1.128330751033957378e-02
6.399999999999995026e+00 6.847771176507357893e-01 6.850435492161561779e-01 2.993163444801345552e-01 2.994328018210126174e-01 1.125249415338851894e-02 1.125687224891025115e-02
6.449999999999994849e+00 6.847749696658634866e-01 6.847619053711011539e-01 2.993159079130757183e-01 2.993101974951701827e-01 1.122084003422964618e-02 1.122062596045624201e-02
6.499999999999994671e+00 6.847797800915856881e-01 6.849168966510252865e-01 2.993184827081805111e-01 2.993784166047686046e-01 1.118947598909086384e-02 1.119171650858948389e-02
6.549999999999994493e+00 6.847755554705200476e-01 6.848172565330784556e-01 2.993170438959203983e-01 2.993352715307601164e-01 1.115813770348259189e-02 1.115881720524735353e-02
6.599999999999994316e+00 6.847819374140137194e-01 6.848189794709270695e-01 2.993201501295272848e-01 2.993363413189127353e-01 1.112714312749172457e-02 1.112774503044285622e-02
6.649999999999994138e+00 6.847762856783876639e-01 6.848317015694868060e-01 2.993178897623398615e-01 2.993421122243760113e-01 1.109612195597182299e-02 1.109701991563952043e-02
6.699999999999993960e+00 6.847828625893924714e-01 6.848273874374329884e-01 2.993208643189950724e-01 2.993403262780002239e-01 1.106546633341941484e-02 1.106618581434382076e-02
6.749999999999993783e+00 6.847773614186275504e-01 6.847869968102313631e-01 2.993184582563117591e-01 2.993226699179729611e-01 1.103478187120043863e-02 1.103493713983310850e-02
6.799999999999993605e+00 6.847826368835117083e-01 6.849289395690582039e-01 2.993206801738306222e-01 2.993846295454857254e-01 1.100443677109671885e-02 1.100678785093697938e-02
6.849999999999993427e+00 6.847785208992550610e-01 6.847247309573747387e-01 2.993187431228208073e-01 2.992952313780670170e-01 1.097410607233073945e-02 1.097324404685855528e-02
6.899999999999993250e+00 6.847820248477645144e-01 6.850355385046085210e-01 2.993201156728535484e-01 2.994309271929253002e-01 1.094406273026887234e-02 1.094811433977789343e-02
6.949999999999993072e+00 6.847794195499967707e-01 6.846975022473433814e-01 2.993188292921432625e-01 2.992830230304055483e-01 1.091408675632245598e-02 1.091278114969574005e-02
6.999999999999992895e+00 6.847817360989035818e-01 6.850715504658629884e-01 2.993197341965314617e-01 2.994464127492901806e-01 1.088435397078296729e-02 1.088896046361055581e-02
7.049999999999992717e+00 6.847801283998519173e-01 6.847057675653056563e-01 2.993189850635824545e-01 2.992864817700408020e-01 1.085472293974914203e-02 1.085354421650193760e-02
