# tau eta eta_joint W_out W_out_joint power power_joint
7.500000000000000000e+00 6.842520885085304760e-01 6.708461625338340006e-01 2.989012657545958573e-01 2.930451663582704924e-01 1.220005166345289153e-02 1.196102719829675483e-02
7.574999999999999289e+00 6.842489964806843794e-01 6.703920746694665977e-01 2.989051660669981292e-01 2.928519521982710927e-01 1.216297725603247663e-02 1.191666133055019512e-02
7.649999999999999467e+00 6.843591485346146586e-01 6.744223777484327220e-01 2.989803129411188198e-01 2.946391729919586311e-01 1.212901878057277144e-02 1.195290762644862607e-02
7.724999999999999645e+00 6.842765334473006611e-01 6.708613072964492163e-01 2.989222020689978887e-01 2.930618389756389774e-01 1.208987672675421350e-02 1.185285496362543933e-02
7.799999999999998934e+00 6.842986214487271068e-01 6.719039729997902111e-01 2.989367803162080728e-01 2.935221613408955932e-01 1.205390243210516590e-02 1.183557102181030836e-02
7.874999999999998224e+00 6.842554598512853303e-01 6.702728539647616612e-01 2.989433501880882638e-01 2.928345102981069203e-01 1.201782312313922664e-02 1.177224162002439914e-02
7.949999999999998401e+00 6.843069726036788980e-01 6.724100059473886448e-01 2.989452963043213174e-01 2.937480056663854810e-01 1.198177540297881011e-02 1.177346716097737479e-02
8.024999999999998579e+00 6.843033676778276231e-01 6.720297083386068682e-01 2.989484304027243411e-01 2.935864939165586662e-01 1.194599122488409007e-02 1.173172802863371375e-02
8.099999999999997868e+00 6.844005722355555044e-01 6.755798645184375451e-01 2.990147584929323532e-01 2.951609893776385718e-01 1.191293858537579263e-02 1.175940196723659729e-02
8.174999999999997158e+00 6.843272989459281419e-01 6.723145870203348640e-01 2.989634481102795283e-01 2.937154304088629431e-01 1.187541005403295116e-02 1.166694857632027786e-02
8.249999999999996447e+00 6.843478611783124776e-01 6.732000510201178178e-01 2.989770116855546833e-01 2.941067707496127781e-01 1.184067373012097878e-02 1.164779290097476584e-02
8.324999999999997513e+00 6.843090117223068480e-01 6.717691947259717411e-01 2.989824080595612221e-01 2.935036190651647559e-01 1.180582065388198487e-02 1.158948150306672413e-02
8.399999999999996803e+00 6.843545685904220965e-01 6.737205423605047150e-01 2.989840584657306177e-01 2.943382148256414865e-01 1.177102592384766250e-02 1.158811869392289452e-02
8.474999999999996092e+00 6.843508757346967730e-01 6.734038711624649176e-01 2.989869522043389072e-01 2.942043010105273027e-01 1.173648487553832949e-02 1.154874586891176981e-02
8.549999999999997158e+00 6.844366009745398438e-01 6.765635669877564373e-01 2.990454087298164421e-01 2.956055069724161655e-01 1.170432128101043037e-02 1.156968716134701425e-02
8.624999999999996447e+00 6.843705522108742834e-01 6.735644557186686310e-01 2.989991326584998665e-01 2.942779863903624005e-01 1.166825883545365670e-02 1.148401898108731591e-02
8.699999999999995737e+00 6.843901359208438562e-01 6.743035946095675692e-01 2.990121277109176745e-01 2.946052871963757980e-01 1.163471314050263522e-02 1.146324074694069460e-02
8.774999999999995026e+00 6.843553773288382214e-01 6.730351041705722182e-01 2.990167255468483276e-01 2.940705365868190313e-01 1.160103687863621100e-02 1.140913817989598622e-02
8.849999999999994316e+00 6.843957034168458575e-01 6.748396206333033831e-01 2.990175954203817543e-01 2.948424714660564661e-01 1.156741181510181037e-02 1.140589831590160634e-02
8.924999999999995381e+00 6.843917844549046725e-01 6.745737954341309850e-01 2.990202105781673003e-01 2.947305957535473198e-01 1.153404862403731475e-02 1.136858614285621641e-02
8.999999999999994671e+00 6.844673935191410985e-01 6.773923457187054353e-01 2.990719712539476882e-01 2.959805917193971680e-01 1.150276812515183683e-02 1.138386891228451020e-02
9.074999999999993960e+00 6.844067946009589898e-01 6.746335731162290683e-01 2.990293026130542708e-01 2.947592111587962194e-01 1.146804612130601468e-02 1.130428422469017397e-02
9.149999999999995026e+00 6.844254813596283293e-01 6.752538633889253461e-01 2.990416071363501960e-01 2.950343113054714195e-01 1.143562551190631903e-02 1.128238284150942516e-02
9.224999999999994316e+00 6.843950096908824055e-01 6.741167392782591028e-01 2.990460926812410491e-01 2.945550070320273051e-01 1.140309218994246462e-02 1.123184011561591429e-02
9.299999999999993605e+00 6.844311102511518863e-01 6.758022931329878968e-01 2.990461891940516814e-01 2.952760290745146676e-01 1.137057753589550482e-02 1.122722544009561833e-02
9.374999999999992895e+00 6.844266167937917977e-01 6.755876428226926800e-01 2.990480945011997349e-01 2.951860612918757454e-01 1.133831637919240944e-02 1.119188857978676080e-02
9.449999999999992184e+00 6.844932982090028428e-01 6.781016265314258051e-01 2.990942045266622440e-01 2.963013182252147715e-01 1.130790943390027649e-02 1.120231826938430410e-02
9.524999999999993250e+00 6.844369666706424660e-01 6.755482629191144062e-01 2.990544316147312198e-01 2.951706462880334669e-01 1.127443663015009756e-02 1.112801682518505496e-02
9.599999999999992539e+00 6.844543889291548888e-01 6.760762494149568091e-01 2.990655762787445271e-01 2.954048310742649619e-01 1.124306677739641235e-02 1.110544477722800842e-02
9.674999999999991829e+00 6.844280816910064402e-01 6.750465206404828722e-01 2.990702803432763179e-01 2.949708779831254901e-01 1.121163187791101787e-02 1.105795231426899908e-02
9.749999999999992895e+00 6.844612298355106095e-01 6.766244854246735718e-01 2.990701614164072986e-01 2.956459551739420988e-01 1.118019295014606972e-02 1.105218524014737157e-02
9.824999999999992184e+00 6.844561051267028517e-01 6.764688245294000479e-01 2.990710916233354499e-01 2.955810727463834553e-01 1.114896893283636760e-02 1.101886571281951790e-02
9.899999999999991473e+00 6.845148935533956758e-01 6.787261766534257168e-01 2.991122197792790427e-01 2.965827262972080547e-01 1.111941337469439170e-02 1.102538015974751512e-02
9.974999999999990763e+00 6.844622524638958039e-01 6.763451068874777317e-01 2.990752103480203150e-01 2.955284303583951555e-01 1.108712549946322054e-02 1.095564153321205644e-02
1.004999999999999005e+01 6.844780568621642303e-01 6.767944970254412551e-01 2.990849438463800691e-01 2.957275870410480678e-01 1.105674468933013667e-02 1.093262798673006256e-02
1.012499999999999112e+01 6.844551773856754062e-01 6.758517599779121365e-01 2.990896190166961732e-01 2.953301429841559411e-01 1.102634540153719055e-02 1.088774720678916362e-02
1.019999999999999041e+01 6.844863939398030395e-01 6.773195560458257214e-01 2.990898724658938024e-01 2.959582855553701819e-01 1.099595119359904165e-02 1.088081932188861463e-02
1.027499999999998970e+01 6.844810455425048845e-01 6.772226130102235730e-01 2.990900860080327739e-01 2.959184492994619831e-01 1.096572267673814362e-02 1.084943902106185430e-02
1.034999999999999076e+01 6.845329496261414182e-01 6.792822444359120082e-01 2.991266663445780738e-01 2.968322173478288306e-01 1.093698962868658829e-02 1.085309752642884575e-02
1.042499999999999005e+01 6.844837613322676262e-01 6.770589864002646285e-01 2.990923970871592896e-01 2.958480633897124790e-01 1.090583034046159992e-02 1.078753193763765106e-02
1.049999999999998934e+01 6.844979821190579905e-01 6.774337257444149607e-01 2.991009762392098370e-01 2.960141505169211484e-01 1.087639913597127084e-02 1.076415092788804602e-02
1.057499999999998863e+01 6.844775544496013442e-01 6.765578009766769485e-01 2.991051888858716756e-01 2.956443897069220839e-01 1.084696967854476175e-02 1.072146472191921017e-02
1.064999999999998792e+01 6.845072283810105240e-01 6.779089677908849421e-01 2.991059521863460580e-01 2.962227408267654738e-01 1.081757512428015156e-02 1.071329984906928094e-02
1.072499999999998899e+01 6.845022561757149182e-01 6.778555441576490370e-01 2.991060571398669321e-01 2.962016520678147913e-01 1.078831585716382574e-02 1.068355823508800387e-02
1.079999999999998828e+01 6.845483798455234137e-01 6.797684243878492349e-01 2.991386363485057931e-01 2.970498586966794363e-01 1.076038260246424058e-02 1.068524671570789640e-02
1.087499999999998757e+01 6.845024190336068681e-01 6.777084710896019715e-01 2.991068557742266876e-01 2.961381059914369729e-01 1.073029079010679072e-02 1.062378855574662266e-02
1.094999999999998863e+01 6.845153951952535065e-01 6.780147839638021035e-01 2.991147975396999392e-01 2.962742054565588035e-01 1.070178166510554751e-02 1.060015046356203687e-02
1.102499999999998792e+01 6.844967683521760993e-01 6.771855175709704522e-01 2.991184442450752767e-01 2.959234986145435897e-01 1.067327187315166535e-02 1.055926846082225548e-02
1.109999999999998721e+01 6.845248200409965733e-01 6.784189508127909107e-01 2.991194414825834036e-01 2.964513363389347234e-01 1.064481998158660347e-02 1.054986962060266466e-02
1.117499999999998650e+01 6.845206321668951821e-01 6.783881581705316632e-01 2.991199263700439204e-01 2.964401749000966646e-01 1.061650137959340053e-02 1.052139041349057016e-02
1.124999999999998579e+01 6.845621581459099270e-01 6.801823540741643859e-01 2.991493234811032353e-01 2.972353768665385587e-01 1.058935658340189045e-02 1.052160626076243180e-02
1.132499999999998685e+01 6.845190856026912574e-01 6.782948557132753020e-01 2.991196141807985764e-01 2.963997641689388729e-01 1.056026881485608998e-02 1.046424586651152795e-02
